mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_min_split_loss,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.923482084274292,0.002850256297388346,0.007752704620361328,0.0002822189392542974,0.6,3,1,0.01,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.6}",0.7153060112380323,0.7398383931156485,0.7191939958637062,0.7329138028938453,0.7382012601302295,0.7290906926482924,0.010010931284920456,2861
0.9740259647369385,0.022875135866117995,0.00873708724975586,0.00010562605008291604,0.6,3,1,0.01,0.7,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.7}",0.7093877304701406,0.7474527651632676,0.706244909883541,0.7305989355438762,0.7375455461309859,0.7262459774383624,0.016003746665646478,2934
0.9870542049407959,0.033608460142041253,0.008956289291381836,0.0008170937260610329,0.6,3,1,0.01,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.8}",0.7128460248772469,0.745344881540455,0.7264970272469844,0.7501519574340912,0.7354609418945917,0.7340601665986739,0.01338277684837938,2625
1.0071803092956544,0.02706074805662217,0.00828723907470703,0.0003618824101818053,0.6,3,1,0.01,0.9,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.9}",0.6978993121634464,0.7338332367701192,0.7198847730590093,0.7356621157383345,0.7328061628798199,0.7240171201221458,0.014201588125006413,2964
1.0253405094146728,0.04554416094227183,0.008685159683227538,0.0014721074987565847,0.6,3,1,0.01,1,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 1}",0.7067002902114917,0.7426535390566087,0.7166914111984202,0.7529098942356272,0.7393849234856695,0.7316680116375635,0.01719962669001641,2770
0.9652554512023925,0.014612071204392677,0.011756706237792968,0.006738170344090702,0.6,3,1,0.1,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.6}",0.7153166209430457,0.7398297480413348,0.7191939958637062,0.7329138028938453,0.7382012601302295,0.7290910855744324,0.0100061539098974,2860
1.0037662982940674,0.025290269146143213,0.008228397369384766,0.0001551442730174272,0.6,3,1,0.1,0.7,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.7}",0.7093877304701406,0.7474527651632676,0.706244909883541,0.7305989355438762,0.7375455461309859,0.7262459774383624,0.016003746665646478,2934
0.9996829032897949,0.026481432803765997,0.008400583267211914,0.00036168840572963797,0.6,3,1,0.1,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.8}",0.7128460248772469,0.7422268646914025,0.7265160734903584,0.7501519574340912,0.7354609418945917,0.7334403724775381,0.012904536314792587,2655
1.0004411220550538,0.0027700634982940776,0.008022069931030273,0.0002500073181674725,0.6,3,1,0.1,0.9,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.9}",0.6978993121634464,0.7338332367701192,0.7198847730590093,0.7356621157383345,0.7285576252078763,0.7231674125877572,0.013770870892786351,2972
1.000197172164917,0.020420644218224517,0.008275222778320313,0.00026952312547832226,0.6,3,1,0.1,1,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 1}",0.7067002902114917,0.7426535390566087,0.7166914111984202,0.7529098942356272,0.7393849234856695,0.7316680116375635,0.01719962669001641,2770
0.9672177314758301,0.005137183936283365,0.008093833923339844,0.00011595244381572568,0.6,3,1,0.5,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.6}",0.7153166209430457,0.7402481100028329,0.7178968046090416,0.7329138028938453,0.7382012601302295,0.728915319715799,0.010363213558209485,2865
1.0048348903656006,0.022727180516113263,0.008164358139038087,0.00031299412358975077,0.6,3,1,0.5,0.7,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.7}",0.7093873454588592,0.7474527651632676,0.706244909883541,0.7305974343490669,0.7373114366122469,0.7261987782933963,0.015970926374761368,2936
1.0030575752258302,0.00340147203595172,0.008383703231811524,0.00016755425382090135,0.6,3,1,0.5,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.8}",0.7128414427032388,0.7422254601175017,0.7228207974257908,0.7466435728294409,0.7373411132990662,0.7323744772750077,0.01263430775739918,2718
1.0231991767883302,0.006568039230894091,0.008492231369018555,0.0004805672898529208,0.6,3,1,0.5,0.9,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.9}",0.6971925571016293,0.7408287592153506,0.7198847730590093,0.7356621157383345,0.7285576252078763,0.72442516606444,0.015327454350749383,2960
