mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_split_loss,param_min_child_weight,param_max_depth,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.4786845207214356,0.015903641939637364,0.015504169464111327,0.000300771908411325,0.7,0.5,4,8,0.6,"{'subsample': 0.7, 'min_split_loss': 0.5, 'min_child_weight': 4, 'max_depth': 8, 'colsample_bytree': 0.6}",0.7717309936764092,0.7868953689935244,0.7787898250237968,0.7966336992375948,0.7857554079703308,0.7839610589803312,0.00835154874993695,106
3.6052010536193846,0.05075194637874935,0.019506454467773438,0.0017995690250173567,0.6,0.1,4,10,0.7,"{'subsample': 0.6, 'min_split_loss': 0.1, 'min_child_weight': 4, 'max_depth': 10, 'colsample_bytree': 0.7}",0.7539342418290976,0.7775232491733395,0.7530219591446865,0.778438247977699,0.7981721507294353,0.7722179697708516,0.01698963737781279,145
4.322992610931396,0.08776324978612544,0.018179988861083983,0.0002674377494637848,0.8,0.1,2,10,0.8,"{'subsample': 0.8, 'min_split_loss': 0.1, 'min_child_weight': 2, 'max_depth': 10, 'colsample_bytree': 0.8}",0.7795705352238621,0.7934441447797551,0.7812799627343976,0.8062619586204789,0.8187991255761133,0.7958711453869214,0.014954357960442038,45
7.243395614624023,0.13244900550563363,0.02540426254272461,0.001673128259164427,0.7,0.01,4,14,1,"{'subsample': 0.7, 'min_split_loss': 0.01, 'min_child_weight': 4, 'max_depth': 14, 'colsample_bytree': 1}",0.7808478981552536,0.7995828253966211,0.7821892443220156,0.8001141333588224,0.8178993302098359,0.7961266862885097,0.013635148040181603,43
6.8166100025177006,0.09804054851484048,0.02610020637512207,0.000650750999257021,0.6,0.01,6,14,1,"{'subsample': 0.6, 'min_split_loss': 0.01, 'min_child_weight': 6, 'max_depth': 14, 'colsample_bytree': 1}",0.7503698974131191,0.7851682330335947,0.7778857384848357,0.7922045961585323,0.7921143837790326,0.7795485697738228,0.01551654104010395,122
3.896034002304077,0.07485841761961771,0.015660572052001952,0.0004510143887416904,0.9,0.75,2,8,0.9,"{'subsample': 0.9, 'min_split_loss': 0.75, 'min_child_weight': 2, 'max_depth': 8, 'colsample_bytree': 0.9}",0.7743009386751981,0.7941877917860896,0.7804872633386059,0.7945607320651545,0.8129492052791902,0.7912971862288477,0.013368194527815217,70
7.466162395477295,0.14882302962657448,0.031017065048217773,0.003259886743574275,0.7,0.01,1,14,0.9,"{'subsample': 0.7, 'min_split_loss': 0.01, 'min_child_weight': 1, 'max_depth': 14, 'colsample_bytree': 0.9}",0.7638142252170691,0.765005207505797,0.7719888404858661,0.7948904575905142,0.8009667448743532,0.7793330951347199,0.015557044008508243,123
2.203596353530884,0.018919615169070148,0.012752008438110352,0.00014904417826506274,0.6,0.01,1,6,0.7,"{'subsample': 0.6, 'min_split_loss': 0.01, 'min_child_weight': 1, 'max_depth': 6, 'colsample_bytree': 0.7}",0.7445998161789393,0.7708794897790002,0.7534193017183817,0.7796789027702588,0.7691490397878689,0.7635453100468897,0.012703956675665585,159
3.4680864334106447,0.03945999413153068,0.016082954406738282,0.0005179114808587898,0.8,0.75,5,8,0.8,"{'subsample': 0.8, 'min_split_loss': 0.75, 'min_child_weight': 5, 'max_depth': 8, 'colsample_bytree': 0.8}",0.7711927270446859,0.7943535175437701,0.7782772272724969,0.8039730746949555,0.8074615359452773,0.7910516165002373,0.0141754195643124,72
1.6129585742950439,0.07716108909851678,0.010194683074951172,0.001469036807517815,0.9,0.5,5,3,1,"{'subsample': 0.9, 'min_split_loss': 0.5, 'min_child_weight': 5, 'max_depth': 3, 'colsample_bytree': 1}",0.71988147841667,0.7438719900288064,0.7198124539291193,0.752832769297202,0.7497324350309545,0.7372262253405506,0.014479056350508205,163
6.627653789520264,0.039022466051729945,0.01790447235107422,0.00048314778616066685,0.7,0.75,2,14,0.8,"{'subsample': 0.7, 'min_split_loss': 0.75, 'min_child_weight': 2, 'max_depth': 14, 'colsample_bytree': 0.8}",0.7630919961670827,0.7822384356300055,0.7823437139403894,0.8039197335807542,0.7898739741343361,0.7842935706905136,0.013220132042650807,103
5.092423152923584,0.050889944671519874,0.01933259963989258,0.0008050580628782126,0.7,0.75,3,14,0.6,"{'subsample': 0.7, 'min_split_loss': 0.75, 'min_child_weight': 3, 'max_depth': 14, 'colsample_bytree': 0.6}",0.7779531439890481,0.778582990615308,0.7749042310743351,0.7997996295795903,0.7994432702429646,0.7861366531002492,0.01108095599608258,91
2.8621806621551515,0.0963632274781439,0.016077375411987303,0.0008694656195704839,0.9,0.75,3,8,0.6,"{'subsample': 0.9, 'min_split_loss': 0.75, 'min_child_weight': 3, 'max_depth': 8, 'colsample_bytree': 0.6}",0.7743860141765255,0.7829544943395381,0.7770882994993652,0.8016650412724703,0.7997312857174963,0.787165027001079,0.011408185335155497,84
1.0514328956604004,0.02818532192426461,0.008785343170166016,0.00025749739005623403,1,0.01,6,3,0.6,"{'subsample': 1, 'min_split_loss': 0.01, 'min_child_weight': 6, 'max_depth': 3, 'colsample_bytree': 0.6}",0.7089736670130846,0.7468231042951861,0.7113244980435037,0.7527550949783287,0.7558214227579423,0.7351395574176092,0.02062213790470371,169
