mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_min_split_loss,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5393759727478027,0.008111688722857778,0.009576702117919922,0.005284064606850905,0.6,3,1,0.01,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.6}",0.6914067437800773,0.7222705086321201,0.7126864960129659,0.7320556331280517,0.7350472946713098,0.718693335244905,0.015744455242449086,2938
0.5546069622039795,0.003162270413492776,0.0075152873992919925,0.00016689611159567482,0.6,3,1,0.01,0.7,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.7}",0.6899363124065996,0.7166611300247305,0.7093032788587587,0.733589021276301,0.7352099816347845,0.7169399448402348,0.016724703646241557,2971
0.571199893951416,0.008545361381429212,0.006896066665649414,0.0004545039953280338,0.6,3,1,0.01,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.8}",0.6712322819164155,0.7247190246563823,0.7049247207725526,0.7422032389113644,0.7443791176407377,0.7174916767794904,0.027142919271059794,2954
0.5825673103332519,0.0018875656251915404,0.006683921813964844,0.00018834842004509652,0.6,3,1,0.01,0.9,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 0.9}",0.6821039636775887,0.7338788837701378,0.7119102692666703,0.7358385758305199,0.7339476892189998,0.7195358763527833,0.020680900328959032,2901
0.5939338207244873,0.018179613278685836,0.006867504119873047,7.82223126612099e-05,0.6,3,1,0.01,1,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.01, 'subsample': 1}",0.6879510620920539,0.7228403869429867,0.7032194837730599,0.7422729691435048,0.7336897947872163,0.7179947393477644,0.019900644352495035,2950
0.5317117214202881,0.003833345838029723,0.0066792011260986325,0.00021867528524142018,0.6,3,1,0.1,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.6}",0.6914054607873081,0.7222705086321201,0.7126864960129659,0.7320556331280517,0.7350472946713098,0.7186930786463511,0.01574489995346656,2939
0.5743683815002442,0.029838997813817346,0.006713438034057617,5.678015422479666e-05,0.6,3,1,0.1,0.7,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.7}",0.6899363124065996,0.7166611300247305,0.7093032788587587,0.733589021276301,0.7352099816347845,0.7169399448402348,0.016724703646241557,2971
0.5732184410095215,0.006093634673667116,0.0066243171691894535,0.00011126355215539002,0.6,3,1,0.1,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.8}",0.6712322819164155,0.7247190246563823,0.7049247207725526,0.7422005160770546,0.7443791176407377,0.7174911322126285,0.027142423501702883,2955
0.5882411479949952,0.008931357841061565,0.006627559661865234,9.378806291615378e-05,0.6,3,1,0.1,0.9,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 0.9}",0.6821039636775887,0.7338788837701378,0.7119102692666703,0.7358385758305199,0.7339451339647554,0.7195353653019344,0.02068054421727415,2902
0.584498119354248,0.008952241943542338,0.006979990005493164,0.0005020348130125893,0.6,3,1,0.1,1,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.1, 'subsample': 1}",0.6879504700129697,0.7228403869429867,0.7059096490628216,0.7422914730195296,0.728715881978272,0.7175415722033158,0.01884905934942284,2953
0.5391334056854248,0.01345007725175949,0.006666707992553711,8.097368893022234e-05,0.6,3,1,0.5,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.6}",0.6744230041348687,0.7141532572983162,0.7126864960129659,0.7321658583164117,0.7350463333889434,0.7136949898303012,0.021635936696637215,3000
0.5537277698516846,0.005681206197360705,0.006743669509887695,8.399199256997377e-05,0.6,3,1,0.5,0.7,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.7}",0.6900484607578716,0.7166733243012384,0.7093041203142756,0.733589021276301,0.7353108473574707,0.7169851548014314,0.01671047817762165,2970
0.5708130359649658,0.002305423655158059,0.006777191162109375,0.00010064863401809165,0.6,3,1,0.5,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.8}",0.6827724210487476,0.725471457234444,0.7049704047116068,0.7423135933484767,0.7462672451491503,0.7203590242984851,0.023786291585639004,2876
0.585170316696167,0.00707330143603034,0.006734037399291992,6.581382394487159e-05,0.6,3,1,0.5,0.9,"{'colsample_bytree': 0.6, 'max_depth': 3, 'min_child_weight': 1, 'min_split_loss': 0.5, 'subsample': 0.9}",0.6872812701089988,0.7385461440923454,0.7119102692666703,0.7358385758305199,0.7339451339647554,0.721504278652658,0.019564925065136372,2806
